Date,Close/Last,Volume,Open,High,Low
06/24/2022,$78.11,18011960,$75.66,$78.15,$75.55
06/23/2022,$75.2,6586431,$73.855,$75.36,$73.51
06/22/2022,$73.3,6703754,$72.37,$73.82,$72.22
06/21/2022,$72.96,7872541,$73.06,$73.17,$72.03
06/17/2022,$71.87,9824325,$71.08,$72.44,$70.77
06/16/2022,$70.95,10147030,$72.43,$72.61,$70.35
06/15/2022,$74.19,7682259,$73.25,$75.27,$73.1076
06/14/2022,$72.31,7635554,$72.85,$73.84,$71.53
06/13/2022,$72.36,9282753,$73.09,$74.01,$71.91
06/10/2022,$75.67,8695476,$77.02,$77.79,$75.66
06/09/2022,$78.91,13248100,$77.97,$80.27,$77.73
06/08/2022,$78.47,5178253,$78.9,$79.7698,$78.26
06/07/2022,$79.47,5517101,$78.57,$79.75,$78.26
06/06/2022,$78.98,7239429,$79.7,$81.2999,$78.53
